libpam-0|tdvp-image-linux-pam
libpam-misc-0|tdvp-image-linux-pam
libpamc-0|tdvp-image-linux-pam
libpanelw-6|tdvp-image-ncurses
libpango-1.0-0|tdvp-image-pango
libpangocairo-1.0-0|tdvp-image-pango
libpangoft2-1.0-0|tdvp-image-pango
libpangomm-1.4-1|tdvp-image-pangomm2-46
libpcre2-8-0|tdvp-image-pcre2
libpcre2-8|tdvp-image-pcre2
libpcre2-posix-3|tdvp-image-pcre2
libpixman-1-0|tdvp-image-pixman
libpng16-16|tdvp-image-libpng
libpopt-0|tdvp-image-popt
libpopt|tdvp-image-popt
libproc2-1|tdvp-image-procps-ng
libpsx-2|tdvp-image-libcap
libpulse-0|tdvp-image-pulseaudio
libpulse-mainloop-glib-0|tdvp-image-pulseaudio
libpulse-simple-0|tdvp-image-pulseaudio
libreadline-8|tdvp-image-readline
libreadline|tdvp-image-readline
librsvg-2-2|tdvp-image-librsvg
libseat-1|tdvp-image-seatd
libsecret-1-0|tdvp-image-libsecret
libsigc-2.0-0|tdvp-image-libsigc2
libsmartcols-1|tdvp-image-base
libsndfile-1|tdvp-image-libsndfile
libss-2|tdvp-image-e2fsprogs
libssl-3|tdvp-image-libopenssl
libswresample-3|tdvp-image-ffmpeg
libswscale-5|tdvp-image-ffmpeg
libsystemd-0|tdvp-image-systemd
libtasn1-6|tdvp-image-libtasn1
libtdvp-cpu1-1|tdvp-image-vicliu-pocket-linux-hardware
libudev-1|tdvp-image-systemd
libunistring-5|tdvp-image-libunistring
libutf8proc-3|tdvp-image-utf8proc
libuuid-1|tdvp-image-base
libv4l1-0|tdvp-image-libv4l
libv4l2-0|tdvp-image-libv4l
libv4l2rds-0|tdvp-image-libv4l
libv4lconvert-0|tdvp-image-libv4l
libvorbis-0|tdvp-image-libvorbis
libvorbisenc-2|tdvp-image-libvorbis
libvorbisfile-3|tdvp-image-libvorbis
libwayland-client-0|tdvp-image-wayland
libwayland-cursor-0|tdvp-image-wayland
libwayland-egl-1|tdvp-image-wayland
libwayland-server-0|tdvp-image-wayland
libwlroots-0.18|tdvp-image-wlroots
libxkbcommon-0|tdvp-image-libxkbcommon
libxml2-2|tdvp-image-libxml2
libz-1|tdvp-image-libzlib
libz|tdvp-image-libzlib
mesa-dri-drivers|tdvp-image-mesa3d
openssl-modules|tdvp-image-libopenssl
pulse-modules|tdvp-image-pulseaudio
shared-mime-info|tdvp-image-base
tdvp-gdk-committed-compat|tdvp-image-tdvp-labwc-desktop
tdvp-hardware-runtime|tdvp-image-vicliu-pocket-linux-hardware
tdvp-runtime-data|tdvp-image-base
tdvp-runtime-libexec|tdvp-image-base
tdvp-runtime-modules|tdvp-image-base
vg-lite-runtime|tdvp-image-vg-lite
